run_id,path_cost,goal_tests,states,succs,time_taken
166,-91,7,16,6,0.00016927719116210938
167,-99,2,2,1,3.5762786865234375e-05
168,-91,3,7,2,7.772445678710938e-05
169,-88,13,41,12,0.0005040168762207031
170,-79,17,51,16,0.0006279945373535156
171,-94,2,4,1,5.602836608886719e-05
172,-95,3,5,2,6.198883056640625e-05
173,-93,2,4,1,5.2928924560546875e-05
174,-76,8,23,7,0.0002949237823486328
175,-51,33,105,32,0.0012238025665283203
176,-79,19,63,18,0.0009088516235351562
177,-80,9,28,8,0.0003418922424316406
178,-91,7,21,6,0.00024580955505371094
179,-94,9,29,8,0.0003757476806640625
180,-65,27,86,26,0.0009448528289794922
181,-82,9,30,8,0.0003628730773925781
182,-96,2,3,1,4.410743713378906e-05
183,-66,28,89,27,0.00098419189453125
184,-70,23,71,22,0.0007779598236083984
185,-91,2,3,1,4.601478576660156e-05
186,-80,17,54,16,0.0005829334259033203
187,-95,2,3,1,4.291534423828125e-05
188,-92,8,21,7,0.0002129077911376953
189,-95,3,8,2,8.869171142578125e-05
190,-82,13,39,12,0.0004367828369140625
191,-87,3,7,2,7.796287536621094e-05
192,-95,3,6,2,6.771087646484375e-05
193,-91,3,7,2,7.486343383789062e-05
194,-73,20,65,19,0.0006992816925048828
195,-73,22,68,21,0.0007610321044921875
196,-85,11,34,10,0.0003440380096435547
197,-61,28,91,27,0.0010068416595458984
198,-73,18,59,17,0.0006670951843261719
199,-67,20,62,19,0.0006649494171142578
200,-80,12,36,11,0.0003688335418701172
201,-86,12,37,11,0.000408172607421875
202,-90,11,36,10,0.0004451274871826172
203,-78,20,63,19,0.0007030963897705078
204,-90,15,51,14,0.0006420612335205078
205,-79,21,70,20,0.0009260177612304688
206,-76,22,69,21,0.0008089542388916016
207,-87,4,10,3,0.00010800361633300781
208,-74,22,75,21,0.0010418891906738281
209,-92,4,9,3,0.000102996826171875
210,-90,10,29,9,0.00030684471130371094
211,-67,27,89,26,0.0009679794311523438
212,-94,8,22,7,0.0002281665802001953
213,-72,25,81,24,0.0008540153503417969
214,-88,12,36,11,0.0005362033843994141
215,-65,29,96,28,0.0010900497436523438
216,-82,17,55,16,0.0005800724029541016
217,-89,8,26,7,0.00031113624572753906
218,-98,4,8,3,9.179115295410156e-05
219,-79,16,50,15,0.0005519390106201172
220,-91,10,27,9,0.00026798248291015625
221,-73,26,88,25,0.0011019706726074219
222,-78,20,63,19,0.0007271766662597656
223,-91,4,11,3,0.0001289844512939453
224,-90,10,33,9,0.0004210472106933594
225,-82,9,25,8,0.0002560615539550781
226,-86,12,36,11,0.00036263465881347656
227,-79,18,57,17,0.0006053447723388672
228,-91,5,11,4,0.00011396408081054688
229,-93,3,8,2,8.916854858398438e-05
230,-74,23,76,22,0.0008337497711181641
231,-94,7,16,6,0.0001671314239501953
232,-86,13,39,12,0.0004889965057373047
233,-68,29,93,28,0.001077890396118164
234,-79,21,68,20,0.0007281303405761719
235,-88,12,36,11,0.00038695335388183594
236,-82,10,31,9,0.00034618377685546875
237,-81,16,48,15,0.00048422813415527344
238,-70,23,69,22,0.000720977783203125
239,-61,31,98,30,0.0010371208190917969
240,-77,20,59,19,0.0006182193756103516
241,-83,17,53,16,0.0007088184356689453
242,-78,12,39,11,0.0004570484161376953
243,-94,2,2,1,3.814697265625e-05
244,-91,8,28,7,0.00033736228942871094
245,-78,12,38,11,0.0004258155822753906
246,-87,4,12,3,0.0001361370086669922
247,-84,14,42,13,0.0005230903625488281
248,-85,3,7,2,7.772445678710938e-05
249,-88,11,33,10,0.0003829002380371094
250,-93,2,4,1,5.793571472167969e-05
251,-67,26,82,25,0.0009429454803466797
252,-72,22,68,21,0.000804901123046875
253,-89,4,9,3,9.918212890625e-05
254,-85,13,37,12,0.00039696693420410156
255,-84,18,56,17,0.0006721019744873047
256,-78,14,40,13,0.0004448890686035156
257,-97,2,3,1,4.38690185546875e-05
258,-92,2,3,1,4.100799560546875e-05
259,-89,6,18,5,0.0001990795135498047
260,-89,4,10,3,0.00011324882507324219
261,-78,23,75,22,0.0007998943328857422
262,-73,26,83,25,0.0009362697601318359
263,-81,14,40,13,0.0004291534423828125
264,-97,3,8,2,8.988380432128906e-05
265,-82,6,16,5,0.0001850128173828125
266,-80,16,54,15,0.0007119178771972656
267,-78,17,56,16,0.0006802082061767578
268,-86,13,41,12,0.00045013427734375
269,-93,2,3,1,4.315376281738281e-05
270,-85,18,62,17,0.0008051395416259766
271,-85,12,34,11,0.00037288665771484375
272,-78,11,34,10,0.0003788471221923828
273,-96,2,4,1,5.1975250244140625e-05
274,-89,4,12,3,0.00014090538024902344
275,-55,32,103,31,0.001207113265991211
276,-80,21,71,20,0.0009560585021972656
277,-68,26,85,25,0.0009531974792480469
278,-55,31,97,30,0.0010600090026855469
279,-77,6,16,5,0.00018310546875
280,-70,11,32,10,0.0003578662872314453
281,-96,2,3,1,4.9114227294921875e-05
282,-95,2,3,1,4.506111145019531e-05
283,-82,10,29,9,0.0003249645233154297
284,-85,6,19,5,0.0002949237823486328
285,-87,4,10,3,0.00012087821960449219
286,-73,21,65,20,0.0007259845733642578
287,-77,16,51,15,0.0006058216094970703
288,-79,11,37,10,0.0004961490631103516
289,-94,5,9,4,0.00010228157043457031
290,-91,2,2,1,3.814697265625e-05
291,-81,5,13,4,0.00015115737915039062
292,-72,29,94,28,0.0012469291687011719
293,-72,30,97,29,0.001219034194946289
294,-80,21,73,20,0.0009732246398925781
295,-82,14,42,13,0.00046181678771972656
296,-91,3,8,2,8.821487426757812e-05
297,-84,19,59,18,0.00061798095703125
298,-96,5,11,4,0.00011491775512695312
299,-66,33,106,32,0.0013718605041503906
300,-74,12,37,11,0.0004918575286865234
301,-75,15,48,14,0.0005390644073486328
302,-92,5,15,4,0.00021696090698242188
303,-74,26,91,25,0.001291036605834961
304,-91,6,15,5,0.0001709461212158203
305,-95,5,11,4,0.00011610984802246094
306,-85,3,8,2,8.893013000488281e-05
307,-85,11,34,10,0.0003719329833984375
308,-67,23,76,22,0.0008671283721923828
309,-81,19,58,18,0.0006237030029296875
310,-78,13,43,12,0.0005230903625488281
311,-90,11,36,10,0.00046515464782714844
312,-93,7,19,6,0.0002090930938720703
313,-95,3,7,2,7.891654968261719e-05
314,-70,25,83,24,0.0009150505065917969
315,-71,19,60,18,0.0006830692291259766
316,-89,9,28,8,0.0003299713134765625
317,-86,12,35,11,0.0003521442413330078
318,-74,27,86,26,0.000982046127319336
319,-79,16,48,15,0.0004889965057373047
320,-76,23,73,22,0.0008261203765869141
321,-80,12,37,11,0.00041294097900390625
322,-90,11,30,10,0.00030303001403808594
323,-85,15,51,14,0.0006420612335205078
324,-75,17,54,16,0.0006518363952636719
325,-83,17,54,16,0.0006411075592041016
326,-83,7,21,6,0.00024080276489257812
327,-89,3,7,2,8.225440979003906e-05
328,-79,16,49,15,0.0005471706390380859
329,-65,10,28,9,0.0003390312194824219
330,-88,12,36,11,0.0003921985626220703
331,-87,9,25,8,0.0002732276916503906
332,-88,7,24,6,0.0002880096435546875
333,-85,16,50,15,0.0005266666412353516
334,-81,20,63,19,0.0007181167602539062
335,-67,26,87,25,0.0009310245513916016
336,-80,9,28,8,0.00032210350036621094
337,-86,12,40,11,0.0004978179931640625
338,-65,28,90,27,0.0010409355163574219
339,-93,3,8,2,9.202957153320312e-05
340,-73,22,72,21,0.0008938312530517578
341,-82,6,16,5,0.0001747608184814453
342,-82,9,27,8,0.0002980232238769531
343,-78,21,67,20,0.0007672309875488281
344,-100,2,3,1,4.410743713378906e-05
345,-73,24,77,23,0.0008130073547363281
346,-87,6,20,5,0.00024080276489257812
347,-72,18,53,17,0.0005981922149658203
348,-70,26,83,25,0.0009679794311523438
349,-74,25,83,24,0.0010161399841308594
350,-89,7,22,6,0.0002560615539550781
351,-81,5,13,4,0.0001468658447265625
352,-80,21,73,20,0.0009140968322753906
353,-97,2,3,1,4.315376281738281e-05
354,-87,3,6,2,6.890296936035156e-05
355,-67,25,80,24,0.0009131431579589844
356,-84,11,37,10,0.00045299530029296875
357,-78,15,52,14,0.0006480216979980469
358,-70,25,81,24,0.0008959770202636719
359,-70,26,81,25,0.0008509159088134766
360,-84,18,56,17,0.0005822181701660156
361,-75,22,67,21,0.0007159709930419922
362,-94,2,2,1,3.5762786865234375e-05
363,-76,9,27,8,0.0002980232238769531
364,-90,13,40,12,0.0004658699035644531
365,-67,26,81,25,0.0008640289306640625
366,-97,4,8,3,8.869171142578125e-05
367,-78,19,59,18,0.0006110668182373047
368,-91,8,23,7,0.0002429485321044922
369,-86,6,16,5,0.00017309188842773438
370,-80,15,53,14,0.0006880760192871094
371,-90,9,27,8,0.00031113624572753906
372,-85,7,21,6,0.0002589225769042969
373,-81,15,45,14,0.00043702125549316406
374,-75,19,63,18,0.0007870197296142578
375,-85,4,12,3,0.0001361370086669922
376,-74,10,30,9,0.0003292560577392578
377,-98,2,4,1,5.1021575927734375e-05
378,-79,14,40,13,0.0004239082336425781
379,-98,4,8,3,9.393692016601562e-05
380,-88,9,29,8,0.00035190582275390625
381,-55,33,105,32,0.001112222671508789
382,-83,13,46,12,0.0006070137023925781
383,-70,25,81,24,0.0009329319000244141
384,-95,5,12,4,0.0001239776611328125
385,-85,13,37,12,0.0003840923309326172
386,-83,15,44,14,0.0004570484161376953
387,-94,2,3,1,4.315376281738281e-05
388,-82,18,59,17,0.0006721019744873047
389,-70,27,87,26,0.0009789466857910156
390,-65,30,95,29,0.0011057853698730469
391,-80,15,45,14,0.0004837512969970703
392,-91,9,27,8,0.0003020763397216797
393,-73,25,80,24,0.0009911060333251953
394,-75,25,78,24,0.0009179115295410156
395,-72,22,67,21,0.0007240772247314453
396,-80,17,53,16,0.0005459785461425781
397,-84,18,57,17,0.0006968975067138672
398,-86,12,42,11,0.0005388259887695312
399,-91,3,8,2,8.916854858398438e-05
400,-46,33,105,32,0.0010840892791748047
401,-99,2,4,1,5.0067901611328125e-05
402,-82,17,57,16,0.0006389617919921875
403,-97,2,4,1,5.316734313964844e-05
404,-66,29,94,28,0.0012080669403076172
405,-91,11,35,10,0.0003998279571533203
406,-92,7,19,6,0.0002028942108154297
407,-85,4,11,3,0.00012183189392089844
408,-61,20,59,19,0.0006341934204101562
409,-81,5,13,4,0.00014281272888183594
410,-80,15,48,14,0.0005199909210205078
411,-91,2,3,1,4.410743713378906e-05
412,-78,20,61,19,0.0007169246673583984
413,-90,15,51,14,0.0006542205810546875
414,-94,2,4,1,5.1975250244140625e-05
415,-64,26,86,25,0.0009629726409912109
416,-97,5,12,4,0.00014281272888183594
417,-70,21,65,20,0.0007028579711914062
418,-85,4,12,3,0.00012803077697753906
419,-92,8,20,7,0.0002040863037109375
420,-82,8,23,7,0.0002300739288330078
421,-82,8,23,7,0.0002467632293701172
422,-74,25,86,24,0.0011436939239501953
423,-88,8,25,7,0.00028395652770996094
424,-91,9,25,8,0.0002689361572265625
425,-82,6,17,5,0.00018715858459472656
426,-79,8,21,7,0.00022792816162109375
427,-75,23,71,22,0.0008101463317871094
428,-85,8,25,7,0.0002830028533935547
429,-94,6,14,5,0.000141143798828125
430,-82,7,21,6,0.0002307891845703125
431,-85,15,47,14,0.0005490779876708984
432,-61,30,96,29,0.0010807514190673828
433,-73,24,76,23,0.0008020401000976562
434,-79,23,77,22,0.0009388923645019531
435,-88,10,27,9,0.00030493736267089844
436,-74,13,41,12,0.00048422813415527344
437,-60,33,106,32,0.0013310909271240234
438,-75,19,62,18,0.0006680488586425781
439,-80,17,55,16,0.0006361007690429688
440,-83,17,52,16,0.000576019287109375
441,-86,10,28,9,0.00027108192443847656
442,-64,28,92,27,0.0009679794311523438
443,-76,20,64,19,0.0008080005645751953
444,-89,3,8,2,9.274482727050781e-05
445,-75,16,51,15,0.0005240440368652344
446,-71,25,79,24,0.0009472370147705078
447,-78,22,75,21,0.0009930133819580078
448,-80,18,56,17,0.0005769729614257812
449,-78,13,44,12,0.0005681514739990234
450,-74,19,59,18,0.000637054443359375
451,-55,30,100,29,0.0010728836059570312
452,-85,15,45,14,0.0004620552062988281
453,-72,21,67,20,0.0007338523864746094
454,-56,31,97,30,0.001016855239868164
455,-92,2,4,1,5.1975250244140625e-05
456,-95,6,17,5,0.0001857280731201172
457,-88,7,23,6,0.00026106834411621094
458,-94,7,17,6,0.00018978118896484375
459,-76,18,53,17,0.0005419254302978516
460,-73,21,67,20,0.0007407665252685547
461,-94,7,18,6,0.00018477439880371094
462,-70,14,42,13,0.000453948974609375
463,-66,29,92,28,0.0011026859283447266
464,-79,18,56,17,0.0006718635559082031
465,-83,20,65,19,0.0007731914520263672
466,-95,3,6,2,6.985664367675781e-05
467,-95,4,11,3,0.00012683868408203125
468,-95,3,7,2,7.796287536621094e-05
469,-83,7,23,6,0.0002701282501220703
470,-83,19,61,18,0.0007631778717041016
471,-85,15,53,14,0.0007109642028808594
472,-86,12,36,11,0.0003609657287597656
473,-76,13,42,12,0.0004506111145019531
474,-93,8,22,7,0.0002319812774658203
475,-82,6,17,5,0.00018310546875
476,-85,12,37,11,0.0004200935363769531
477,-61,21,68,20,0.0007719993591308594
478,-75,23,72,22,0.0007867813110351562
479,-79,22,73,21,0.00092315673828125
480,-79,6,16,5,0.00018286705017089844
481,-97,2,3,1,4.38690185546875e-05
482,-84,15,47,14,0.0005159378051757812
483,-73,26,85,25,0.001065969467163086
484,-82,6,16,5,0.0001728534698486328
485,-79,28,94,27,0.001216888427734375
486,-89,4,10,3,0.0001087188720703125
487,-70,25,83,24,0.0009648799896240234
488,-94,4,9,3,0.00010204315185546875
489,-86,7,22,6,0.00026869773864746094
490,-88,10,30,9,0.0003199577331542969
491,-70,22,69,21,0.0007503032684326172
492,-90,9,29,8,0.0003399848937988281
493,-86,11,31,10,0.0003001689910888672
494,-71,22,71,21,0.0008749961853027344
495,-97,3,5,2,6.318092346191406e-05
496,-94,2,4,1,5.2928924560546875e-05
497,-90,6,14,5,0.00014066696166992188
498,-79,20,65,19,0.0008077621459960938
499,-74,27,87,26,0.0011301040649414062
